CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language
Mon Jul 07 10:20:06 +0000 2014,486092284732006402,Higher storage batteries developed for electric vehicles http://t.co/aeR8XeDDX8,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,18,13,,,http://t.co/aeR8XeDDX8,http://timesofindia.indiatimes.com/home/science/Higher-storage-batteries-developed/articleshow/37929188.cms,79,,,,,,,,false,false,false,en
Mon Jul 07 10:15:11 +0000 2014,486091046963519489,River Ganga to be developed as major tourist destination and navigation corridor - http://t.co/RNQwXbnC4U http://t.co/2fq9ZUC0Dr,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,88,53,,,http://t.co/RNQwXbnC4U,http://timesofindia.indiatimes.com/home/environment/developmental-issues/River-Ganga-to-be-developed-as-major-tourist-destination-and-navigation-corridor/articleshow/37953537.cms,105,128,http://pbs.twimg.com/media/Br7uu4ACUAEnL16.jpg,http://t.co/2fq9ZUC0Dr,photo,,,,false,false,false,en
Mon Jul 07 10:14:25 +0000 2014,486090853182484480,"Sensex surges 138 pts to end at record closing peak of 26,100.08.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,,,,,,,,,,,17,12,,,,,,,,,,,,,false,false,,en
Mon Jul 07 10:00:05 +0000 2014,486087247913943042,"Intersex fish found in US river, chemical contamination suspected.  http://t.co/LvfE3qmVBv","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,18,6,,,http://t.co/LvfE3qmVBv,http://timesofindia.indiatimes.com/home/science/Contaminated-Intersex-fish-found-in-US-river/articleshow/37929138.cms,90,,,,,,,,false,false,false,en
Mon Jul 07 09:57:42 +0000 2014,486086647633571841,"Second quake in a week hits Pithoragarh; Darma, Johar valleys on alert -  http://t.co/neWYvUrLda","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>",false,,,,134758540,,,,,,,,,,,15,5,,,http://t.co/neWYvUrLda,http://timesofindia.indiatimes.com/india/Second-quake-in-a-week-hits-Pithoragarh-Darma-Johar-valleys-on-alert/articleshow/37952655.cms,96,,,,,,,,false,false,false,en
Mon Jul 07 09:50:12 +0000 2014,486084760683282432,Railway stocks on a roll ahead of rail budget; gain up to 8%  http://t.co/aCWwTgufWH,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,11,8,,,http://t.co/aCWwTgufWH,http://timesofindia.indiatimes.com/budget-2014/railway-budget-2014/Railway-stocks-on-a-roll-ahead-of-rail-budget-gain-up-to-8/articleshow/37870955.cms,84,,,,,,,,false,false,false,en
Mon Jul 07 09:45:06 +0000 2014,486083474768412672,Woman lawyer Pallavi Purkayastha's killer gets life imprisonment  http://t.co/lg2SOId6eO,"<a href=""http://timesofindia.indiatimes.com/"" rel=""nofollow"">The Times of India</a>",false,,,,134758540,,,,,,,,,,,13,10,,,http://t.co/lg2SOId6eO,http://timesofindia.indiatimes.com/city/mumbai/Pallavi-Purkayasthas-killer-gets-life-imprisonment/articleshow/37955369.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=timesofindia,88,,,,,,,,false,false,false,en
Mon Jul 07 09:44:43 +0000 2014,486083378924380160,"RT @PassionTrails: @timesofindia introduces #TimesPassionTrails! Find out what it's all about at http://t.co/a8sNuQiZ3o
#LiveWhatYouLove ht?","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,,,,,,,,,,,9,0,LiveWhatYouLove,,http://t.co/a8sNuQiZ3o,http://timespassiontrails.com,119,140,http://pbs.twimg.com/media/Br2BapLCUAAlR5Y.png,http://t.co/Hnin2sR6M1,photo,timesofindia,Times of India,134758540,false,false,false,en
Mon Jul 07 09:44:08 +0000 2014,486083234338312192,RT @PassionTrails: Hop onto a journey with  seasoned expert @rajeshkalra for #TimesPassionTrails #cycling trail- #Manali to #Leh -http://t.?,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,,,,,,,,,,,3,0,Leh,,http://t.co/a8sNuQiZ3o,http://timespassiontrails.com,140,,,,,rajeshkalra,Rajesh Kalra,13507972,false,false,false,en
Mon Jul 07 09:43:25 +0000 2014,486083051001114625,"RT @PassionTrails: #TimesPassionTrails, a unique travel experience that will lead u to #LiveWhatYouLove by @rajeshkalra @ChefKunalKapur @ba?","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,,,,,,,,,,,6,0,LiveWhatYouLove,,,,,,,,,reshii,Marryam H Reshii,44551682,false,false,,en
